DELL N1;15;Pentium B950;2,2;4;320;3,2;18000
check;13;Core i9;3,2;12;1128;3,5;72000
ASUS;16;Xeon;2,4;8;500;4;20000
Apple;13,3;Core i5;2,3;8;256;1,37;96000
Lenovo;15,6;Core i7;2,6;4;2000;2,2;32000
DELL;15;Core i5;2,5;16;1256;2,65;70000
HP;15,6;A12;3;12;1128;2,1;29000
Acer;15,6;Core i3;2;8;2000;2,4;35000
MSI;15,6;Core i7;2,8;16;1000;2,2;60000
Acer;15,6;Celeron;1,6;4;500;2,4;17000
DELL;15;Pentium B950;2,2;4;320;3,2;18000
check;13;Core i9;3,2;12;1128;3,5;72000
ASUS;16;Xeon;2,4;8;500;4;20000
Apple;13,3;Core i5;2,3;8;256;1,37;96000
Lenovo;15,6;Core i7;2,6;4;2000;2,2;32000
DELL;15;Core i5;2,5;16;1256;2,65;70000
HP;15,6;A12;3;12;1128;2,1;29000
Acer;15,6;Core i3;2;8;2000;2,4;35000
MSI;15,6;Core i7;2,8;16;1000;2,2;60000
Acer;15,6;Celeron;1,6;4;500;2,4;17000
DELL;15;Pentium B950;2,2;4;320;3,2;18000
check;13;Core i9;3,2;12;1128;3,5;72000
ASUS;16;Xeon;2,4;8;500;4;20000
Apple;13,3;Core i5;2,3;8;256;1,37;96000
Lenovo;15,6;Core i7;2,6;4;2000;2,2;32000
DELL;15;Core i5;2,5;16;1256;2,65;70000
HP;15,6;A12;3;12;1128;2,1;29000
Acer;15,6;Core i3;2;8;2000;2,4;35000
MSI;15,6;Core i7;2,8;16;1000;2,2;60000
Acer;15,6;Celeron;1,6;4;500;2,4;17000
